Bug	10A	11A	12A	13A	14A	15A	16A	17A	18A	19A	1A	20A	21A	22A	23A	24A	25A	26A	27A	28A	29A	2A	30A	31A	32A	33A	34A	35A	36A	37A	38A	39A	3A	40A	41A	42A	43A	44A	45A	46A	47A	48A	49A	4A	50A	51A	52A	53A	54A	55A	5A	6A	7A	8A	9A
FCMP-10A_15.80	8.041761	2.784843	1.136668	0.11247	3.860955	3.520678	0.040516	1.254764	0.55559	0.201724	2.656058	2.529895	4.918501	1.385834	2.868503	4.366993	4.744616	1.922453	0.015916	7.779216	2.381605	5.648728	3.265717	2.171095	3.908326	9.211315	1.818322	5.26458	1.91212	1.690686	1.259999	4.429328	1.99637	3.827644	5.745599	1.997097	3.500618	4.036459	3.346626	1.747446	5.246247	2.292155	3.69125	2.587218	4.504977	2.994145	3.217904	1.998885	1.679226	2.633415	1.713536	4.525367	3.440758	7.413559	4.250206
FCMP-10A_16.86	5.21736	0.179984	0.136099	0.090762	0.113752	0.116482	0.049428	0.047918	0.080291	0.153941	0.116493	0.128584	0.099506	0.113975	0.155196	0.123523	0.090584	0.109904	0.056888	0.537331	0.088738	0.244943	0.471032	0.121596	0.262769	0.416369	0.093554	0.174365	0.376043	0.591508	0.733528	0.369179	1.024597	0.377723	2.080544	0.001328	0.191083	0.310186	0.171269	0.193092	0.846103	0.120926	0.099036	0.110157	0.223448	0.078035	0.217847	0.130298	0.076709	0.06727	0.121668	0.192474	0.101732	0.205929	0.134225
FCMP-10A_22.30	8.069242	2.467421	0.943295	0.650509	6.931599	4.474781	2.128427	0.173135	4.559848	22.815332	2.105627	1.776166	2.59983	2.236047	3.527658	1.53856	0.675165	2.455936	0.00796	12.991056	17.438936	5.932088	5.424916	1.204198	4.602434	2.697567	4.490426	2.059972	0.066405	3.790534	9.194576	5.296984	1.863532	3.017937	0.78346	0.003203	2.793503	1.132487	5.013184	6.369475	8.492998	3.429913	4.130952	7.134498	10.595429	9.634905	2.606635	6.065359	2.557848	7.82577	4.193934	6.507706	9.376101	1.81701	3.147155
FCMP-10A_30b.36	23.51624	0.36978	0.036921	0.001002	0.742343	0.479625	0.483003	1.37655	0.003437	40.873981	0.03953	5.232304	0.040666	0.016411	2.21277	0.090691	0.220838	0.001736	0.00352	1.134219	2.719058	0.043851	0.028267	0.039357	0.081327	0.004989	0.036838	0.257029	0.074931	0.35339	0.3377	0.0349	0.032789	0.032317	0.001169	0.000218	0.088619	0.05395	0.068771	0.017761	0.012478	0.040401	0.036789	0.058125	0.01423	0.010087	0.014634	0.84688	3.979501	0.003514	0.0102	0.597147	0.083309	0.302173	0.071341
FCMP-10A_19.64	14.907752	0.154732	0.126613	0.025239	0.153822	0.11496	0.007423	0.033357	0.006065	0.033845	0.176145	0.020214	0.0382	0.338574	0.01985	0.276675	0.516386	0.033652	0.124903	0.033207	0.019317	0.263854	0.010129	0.013593	0.061073	2.484607	0.017013	0.035378	1.095067	0.027502	0.153132	0.062222	0.23094	0.086328	0.186377	0.000199	0.331995	0.022233	0.191539	0.014485	0.188446	0.036896	0.076298	0.027347	0.242966	0.407743	0.023153	0.045749	0.493031	0.108829	0.026066	0.453666	0.153011	0.016396	0.816745
FCMP-10A_19.73	5.242089	1.339515	0.064092	0.113461	0.235437	0.31691	0.010018	0.111899	0.015922	0.016844	0.471834	0.559459	0.084528	0.357376	1.065542	0.124407	0.224937	0.519934	0.350966	0.121698	0.112992	1.185777	0.101319	0.194183	0.397734	0.051147	0.166966	0.684673	0.349766	0.22567	2.383694	1.248114	0.682296	0.799812	2.606273	0.012112	1.297883	1.253707	0.439875	0.052282	0.170797	0.997881	0.075575	2.538079	0.421075	0.047671	0.737145	0.355408	0.560106	0.948633	1.635656	2.109976	0.202411	0.226492	1.859369
FCMP-11A_18.102	0.03799	6.425403	2.615154	0.046809	0.138354	0.122834	0.023905	0.034498	0.000243	0.001079	0.562618	1.357265	0.036775	0.401495	0.366932	0.010979	0.065305	0.021531	0.783201	0.547565	0.006699	0.078825	0.093873	0.481302	0.369508	0.082816	0.107053	1.005949	0.121804	0.125175	0.066289	0.226665	0.14424	0.174331	0.071785	0.000233	0.085335	0.208503	0.032881	0.123423	0.023093	0.056006	0.418105	0.001552	0.008622	0.055916	0.012878	0.269526	0.497078	0.003343	0.094325	0.087542	0.104544	0.000277	0.196038
FCMP-11A_16.37	0.103676	5.630631	3.600085	0.00314	0.057202	0.057759	0.021176	0.01779	0.003099	0.010336	2.354171	1.170559	0.860097	0.495147	1.025896	0.099118	0.180137	0.032999	0.010094	0.024001	0.003032	1.758039	0.540166	0.614898	0.676425	0.110492	0.576517	0.10646	0.110831	0.390634	0.188652	0.176969	0.559013	0.48938	0.041281	0.017237	0.496738	0.29628	0.920024	0.408302	0.753679	0.570292	1.377357	0.187036	0.02149	0.382479	1.176268	0.778044	0.88644	0.012367	0.341662	0.020291	0.006319	0.005592	0.977521
FCMP-11A_19.6	0.013026	6.668402	0.01661	0.008366	0.013107	0.013528	7.874936	0.030758	0.002998	0.014111	0.010339	0.0117	0.013225	0.013301	10.258726	0.01755	0.019235	0.005643	0.003193	0.067275	0.00376	0.008895	0.021066	0.013513	0.019289	0.008534	0.006814	0.010221	0.007061	0.033128	0.02761	0.029617	0.012468	0.009715	0.005751	0.000559	0.015104	0.009938	0.008395	0.016114	0.010241	0.011579	0.016597	0.008415	0.011357	0.008861	0.011495	0.011278	0.462121	0.006341	0.008231	0.013943	0.012107	0.017931	0.011897
FCMP-11A_16.103	0.20338	10.381355	0.508481	0.208207	0.191404	0.239496	0.034834	0.100017	0.077127	0.001866	0.204143	0.025209	0.112084	0.154633	0.288668	0.107198	0.071267	0.041858	0.046203	0.432224	0.006025	0.193955	0.133563	0.085159	0.078031	0.176975	0.127029	0.096505	0.147023	0.098572	0.184166	0.086829	0.2053	0.14464	0.214386	6.6e-05	0.242052	0.171149	0.134576	0.140382	0.163393	0.104059	0.120783	0.180625	0.231678	0.141355	0.238335	0.113237	0.101825	0.052119	0.196473	0.323591	0.123685	0.07409	0.103151
FCMP-11A_23.118	0.006026	15.117262	0.004878	0.004126	0.002513	0.003414	0.000418	0.001963	0.003902	0.002575	0.005725	20.447034	0.003893	0.003024	0.091519	0.002986	0.007889	0.001967	0.001997	0.017278	0.012671	0.00849	0.005611	0.005576	0.00498	0.010563	0.026158	0.003045	0.005764	0.003454	0.004978	0.002683	0.005468	0.0049	0.003522	0.000426	0.005645	0.00582	0.008088	0.004666	0.001723	0.001917	0.00375	0.009732	0.005795	0.001403	0.002744	0.002984	0.002457	0.003127	0.011149	0.004532	0.004526	0.005124	0.006076
FCMP-11A_24.5	1.262419	8.834925	1.663454	0.015114	0.90296	1.203434	2.725706	2.003453	0.079499	0.013198	1.935788	2.762441	1.005545	0.025515	1.02602	1.121454	4.833995	1.554134	0.014776	1.188429	0.021415	1.259197	0.457054	4.215355	0.780525	0.085535	0.639109	0.549926	0.037734	1.148196	1.692416	4.309409	3.211733	2.173895	0.030599	0.001006	0.57165	1.843924	0.246085	0.033992	0.354433	0.033245	0.822901	0.710685	1.583308	0.300442	1.443954	0.817609	0.291977	0.323559	2.929665	4.607064	0.027576	0.03853	1.590991
FCMP-13A_15.113	0.93778	2.436283	0.033195	15.978827	0.104	0.105163	20.374561	0.075352	3.521168	27.585281	0.153024	0.180914	0.089633	0.027777	0.078464	0.023827	2.378429	0.858765	2.752952	1.138212	0.014557	0.291794	0.062228	1.256645	0.026186	2.983096	0.145932	0.018359	1.852116	0.058561	0.228781	1.035618	0.013065	0.490311	0.857087	0.000573	0.452526	0.137526	0.014665	0.017736	0.106919	0.011731	0.640539	0.011141	0.014244	0.019126	0.038408	0.013679	0.213501	0.051704	0.01219	1.324247	0.03002	0.199601	0.125284
FCMP-13A_15.25	0.018906	0.019638	0.012608	18.808109	0.013546	0.018328	0.000406	0.011519	2.3e-05	0.000241	0.017549	0.003791	0.016432	0.021584	0.008929	0.003061	0.034682	0.001144	4.1e-05	0.000636	0.000419	0.01993	0.028323	0.023957	0.011011	0.021945	0.023257	0.04638	0.003583	0.006674	0.00466	0.006095	0.037309	0.017152	0.014128	0.000442	0.013589	0.018766	0.000119	0.011583	0.005329	0.012851	0.008291	0.038193	0.000385	0.005123	0.026392	0.016592	0.013174	0.007854	0.054629	0.008404	0.004427	0.004678	0.016523
FCMP-13A_15.90	0.012085	0.140226	0.014482	82.08183	0.008589	0.007861	0.013401	0.002689	0.008336	0.000551	0.007764	0.014208	0.009238	0.007455	0.009822	0.017506	0.006806	0.002249	0.000911	0.223995	0.008355	0.008057	0.010951	0.015065	0.052344	0.001099	0.002865	0.036584	0.005274	0.030497	0.005725	0.002132	0.003502	0.013866	0.000724	0.000663	0.005271	0.037614	0.015225	0.012053	0.004251	0.025283	0.021308	0.00591	0.01244	0.004593	0.008226	0.021367	0.022632	0.000608	0.006345	0.016584	0.052588	0.000467	0.0234
FCMP-13A_15.7	3.638025	2.566478	0.764111	18.937058	4.765959	4.984102	0.08851	6.195352	0.002829	1.627805	9.313505	0.387913	0.896922	1.253505	0.648258	2.399197	38.388263	4.285554	20.088268	18.022647	122.247311	3.921256	2.320688	1.923454	0.379218	39.911958	11.817484	5.203939	0.057872	0.3165	14.257237	2.250254	1.385412	8.035742	78.741645	9.230768	3.826248	1.420944	1.522943	0.307041	1.004069	0.855111	1.02968	0.32127	1.759839	4.447936	0.777598	0.457717	1.111979	2.986281	16.986422	13.778439	26.424773	32.537355	25.821127
FCMP-13A_15.52	0.435948	0.7171	0.46028	28.708573	0.648743	0.620312	0.013697	0.088963	1.73809	0.012617	1.697274	0.326914	0.521911	0.747815	0.247842	0.269294	0.207908	6.942054	0.023613	0.79622	0.289365	0.550443	0.674021	0.147023	0.973709	1.821047	0.102214	0.326536	0.608376	0.194984	0.259889	0.263852	0.363251	0.181328	0.072409	0.002242	1.523819	0.486426	0.90056	0.629846	0.168772	0.531868	0.643558	0.057978	0.819599	0.411464	0.392804	0.27017	0.240145	1.420822	0.03477	0.578139	0.872352	0.038854	3.681506
FCMP-13A_15b.41	0.007027	1.980961	0.901352	196.407135	0.007967	0.000541	0.012966	0.000104	0.000436	0.001159	0.003908	1.777924	0.000752	0.000171	0.001433	0.000251	0.029276	0.000383	0.301145	0.007684	0.000301	0.004673	0.000399	3.7e-05	0.000105	6.3e-05	0.000143	4.6e-05	0.856101	0.004838	0.201947	0.000107	0.000123	0.00065	0.005709	0.034225	0.000153	0.00052	8.9e-05	0.000115	8.2e-05	0.000127	0.000612	0.007071	0.000446	6.7e-05	0.000113	0.000106	0.000194	6.7e-05	0.007376	0.007036	0.000263	5.1e-05	0.008011
FCMP-13A_15.14	0.752477	0.31638	0.269601	6.145051	0.654527	0.766228	0.21249	0.871417	0.065983	0.060139	0.491479	0.178241	0.077466	0.219358	0.642318	0.033575	0.094431	0.127086	0.126369	0.120152	0.112726	0.22599	0.692978	1.669701	0.800263	0.190686	4.229897	2.6701	0.218148	0.524716	0.140291	1.414657	0.221906	1.25183	0.480662	0.000503	0.214776	0.135973	0.105668	0.486263	0.579314	2.207028	0.120441	0.366062	0.136273	1.031037	0.52854	0.066301	0.462968	0.615067	0.132303	0.394143	0.618492	0.102893	0.819511
FCMP-13A_16.34	0.002	0.002261	0.001792	6.257829	0.004495	0.006444	0.000491	0.970464	0.08022	1.226984	0.001879	0.001292	0.000565	0.002989	0.001979	0.001399	0.087841	0.058474	2.841329	0.001014	0.010271	0.001306	0.00096	0.001436	0.001139	0.002785	0.002169	0.001389	0.000707	0.000802	0.00225	0.002436	0.000456	0.391821	6.528884	0.005838	0.001338	0.001662	0.001044	0.00171	0.001512	0.000596	0.0472	0.019594	0.039606	0.003055	1.700342	0.000771	0.135873	0.896844	0.001748	0.002527	0.002994	0.013604	0.111524
FCMP-13A_16.61	0.526478	0.202103	0.394247	7.542689	0.249378	0.249094	0.18022	1.164374	1.15452	3.732544	0.714267	0.457102	0.256443	0.428643	0.244385	0.29288	1.953201	2.615372	7.593747	1.907451	1.582885	0.154512	0.219702	1.493601	0.625945	1.220484	2.345262	0.354222	0.265481	0.549051	0.716361	3.162236	0.261224	0.307964	1.216942	0.521347	0.307802	0.212051	0.131216	1.602209	0.87769	0.325636	1.105662	0.178452	0.024462	0.165918	0.195919	0.230268	0.20036	1.494758	0.22032	0.136412	0.527738	2.909936	0.539034
FCMP-13A_18.79	0.062828	0.169555	0.231739	18.594071	0.091958	0.082443	0.135204	0.281738	0.067581	0.240709	0.057972	0.158807	0.084222	0.099121	0.135644	0.091469	0.08971	0.115244	0.270232	0.249767	0.196637	0.055881	0.226247	0.070578	0.06815	0.136105	0.177672	0.110152	0.479862	0.106005	0.072095	0.079209	0.598907	0.078009	0.312989	0.016574	0.074133	0.078678	0.098459	0.087795	0.089445	0.107279	0.181953	0.230781	0.090897	0.113806	0.208203	0.11731	0.163045	0.343773	0.548708	0.08579	0.119808	0.16456	0.175115
FCMP-13A_16b.47	0.041171	0.065263	0.043522	9.242979	0.046248	0.039552	0.047527	0.034649	0.027469	0.046829	0.04334	0.03136	0.013826	0.038835	0.058966	0.07107	0.134587	0.021377	0.190893	0.135645	0.053153	0.039323	0.019813	0.084888	0.028712	0.055184	0.061957	0.014253	0.043351	0.057608	0.090473	0.054745	0.10071	0.056677	0.051215	0.001861	0.05678	0.04255	0.049843	0.018812	0.023993	0.029249	0.085104	0.059885	0.026341	0.114136	0.055616	0.098956	0.105879	0.110392	0.047031	0.071016	0.177665	0.074674	0.029581
FCMP-13A_30b.31	0.002983	3.754336	0.190809	13.283304	0.023419	0.002753	0.094781	0.00236	0.001533	0.952391	0.004433	4.780474	0.552668	0.026034	0.006629	0.002059	2.789872	0.008438	0.006072	0.02825	0.004929	0.002125	0.001738	0.003285	0.002421	0.004013	0.063845	0.002237	0.003115	0.006601	0.026879	0.011657	0.004385	0.006344	0.019124	1.218074	0.01592	5.381309	0.000963	0.002881	0.001624	0.003485	0.008058	0.001509	0.003638	0.003824	0.004227	0.003469	0.062628	0.001772	0.008704	0.04499	0.003346	0.001138	0.002692
FCMP-13A_25.103	0.958908	2.3667	3.28859	40.57251	5.281465	6.749409	0.248005	5.494523	2.223903	0.30419	3.253352	0.397036	0.667908	1.669548	1.237841	8.432771	7.94451	0.67653	0.133185	0.652741	5.043929	0.54451	0.730918	2.156472	1.431369	0.961254	4.469038	6.343934	20.228648	4.930754	0.569715	3.552351	5.183699	1.904922	6.72508	0.004556	4.116251	2.733712	0.865542	0.19675	0.221159	2.532001	0.998013	3.673082	0.237959	4.067997	1.822605	0.454461	1.539594	0.072885	0.382394	1.448529	0.9786	0.843244	2.242823
FCMP-13A_15.86	0.104094	0.11267	0.343219	13.688147	0.013812	0.018188	0.000326	0.011823	2e-06	0.000576	0.04612	0.012346	0.132875	0.035279	0.064839	1.525936	0.006742	0.000142	9.4e-05	0.001258	0.000789	0.11912	2.764996	10.022389	0.0795	0.021745	0.069117	0.024925	0.012644	0.024307	0.029436	0.4269	0.284015	3.579022	0.016798	0.000147	0.029066	0.090397	0.000497	0.275099	0.007652	0.056694	0.190554	2.094341	0.003302	0.03791	0.138785	1.077711	0.961008	0.00608	0.124225	0.030807	1.496619	0.180498	0.265322
FCMP-13A_20.46	0.001338	0.009876	0.017362	10.867295	0.003074	0.002213	0.006749	0.004447	0.000894	0.011084	0.00259	0.012041	0.003759	0.004184	0.003367	0.001269	0.00433	0.005117	0.006772	0.003939	0.017643	0.002232	0.003876	0.001815	0.002228	0.002438	0.005257	0.002197	0.006443	0.002953	0.002186	0.002589	0.001862	0.003121	0.00201	0.003355	0.001207	0.014112	0.003013	0.003565	0.002774	0.004229	0.003587	0.002673	0.001592	0.003364	0.002828	0.007253	0.005939	0.00418	0.007296	0.005025	0.013884	0.004783	0.001781
FCMP-13A_23.63	0.06835	0.620706	0.659082	6.472611	0.032049	0.027849	0.020412	0.0634	0.866122	0.130641	0.146356	0.544089	0.17764	0.108876	0.067074	0.590195	0.412031	0.595152	0.421685	0.140196	0.213733	0.181516	0.11281	0.111493	0.08712	0.200135	0.208022	0.041106	0.124222	0.161963	0.151493	0.096768	0.342946	0.572518	0.165798	0.021395	0.090894	0.273125	0.129547	0.071749	0.069104	0.136463	0.112654	0.188848	0.129723	0.070651	0.04527	0.067975	0.086631	0.060738	0.20403	0.421896	1.199629	0.35436	0.100684
FCMP-13A_18b.20	0.016996	0.06751	0.081827	467.91396	0.022459	0.007779	0.028288	0.008158	0.004251	0.012271	0.01881	0.014167	0.01235	0.014345	0.010179	0.006378	0.040256	0.005387	0.10987	0.01379	0.018995	0.015201	0.012236	0.004544	0.007891	0.010771	0.011331	0.003267	0.013815	0.004828	0.003914	0.006957	0.004297	0.004848	0.005076	0.002514	0.001751	0.007288	0.011765	0.0103	0.004522	0.008083	0.005671	0.024207	0.012182	0.009959	0.009447	0.013616	0.016943	0.010028	0.033023	0.020658	0.007866	0.004978	0.020626
FCMP-13A_21b.12	0.064574	0.779524	0.29881	34.052888	0.087214	0.085047	0.12537	0.09101	0.011734	0.136026	0.044426	0.391227	0.07261	0.090266	0.051268	0.011983	0.082188	0.073342	0.52445	0.084712	0.062244	0.084269	0.066619	0.035418	0.129556	0.039869	0.121994	0.128429	0.073151	0.059636	0.02175	0.021131	0.020517	0.020408	0.103957	0.047283	0.058685	0.115936	0.064261	0.06558	0.12018	0.195	0.134539	0.037734	0.068989	0.079228	0.05435	0.045193	0.052158	0.178807	0.033358	0.107932	0.155115	0.065907	0.012807
FCMP-13A_24.43	0.641808	0.554708	0.367306	4.789701	0.443479	0.488301	0.00735	0.075564	0.809296	0.059825	0.96995	0.217567	0.387483	0.690223	0.183452	1.839445	1.395235	1.068115	1.713148	0.879339	1.352374	0.777087	0.8469	0.335751	0.463602	1.7159	0.302954	0.661107	1.016255	0.159544	0.637194	0.337393	0.352467	0.245755	0.427493	0.001796	1.953854	0.653839	0.476408	0.191182	0.261785	0.259582	0.185628	1.638062	0.46708	0.349935	0.138768	0.079508	0.32389	1.047552	0.495432	0.600727	0.809291	0.417363	1.434651
FCMP-13A_16.97	1.69636	11.662518	5.675908	11.882723	5.313475	6.445308	1.453611	0.106863	0.244401	13.3585	2.968308	4.218974	0.642838	0.36193	2.423595	0.064188	1.959053	1.326394	0.112839	3.332053	2.202063	0.375395	2.552929	4.743134	1.416729	12.821361	0.996251	0.379041	0.1887	1.907783	0.874671	2.991072	0.830673	2.844861	15.580913	0.007392	3.439354	0.45523	17.532593	1.163796	0.441254	2.26728	8.5452	1.060213	0.174035	0.311213	0.119102	0.037766	0.031011	1.749617	0.568197	4.423928	22.823192	4.236573	3.870766
FCMP-13A_27b.29	0.668147	0.80174	0.688559	6.747429	0.229099	0.187753	0.088062	0.182029	0.031295	0.022308	0.421753	0.198634	0.183755	0.238832	0.269527	0.039038	0.112577	0.111857	0.017103	0.040284	0.07331	0.162678	0.247241	0.252408	0.259753	1.671524	0.93804	0.300799	0.130555	0.909298	0.476508	0.271655	0.425848	1.324419	0.108541	0.000464	1.783169	0.129169	0.601243	0.16846	0.171153	0.322809	1.329572	0.084767	0.192231	0.109001	0.144144	0.123403	0.130267	0.099106	0.132972	0.535628	0.54358	0.143574	0.518325
FCMP-13A_27.83	0.186948	1.996971	0.592282	6.177502	0.357841	0.366219	0.196046	1.765414	0.000553	0.149326	0.366886	2.254692	0.402444	0.84963	1.457982	0.099916	0.99446	0.290415	0.287403	0.778312	0.960457	0.109927	0.202405	0.679971	0.552784	0.547948	1.639903	0.22572	0.008122	0.35867	2.087137	0.702736	0.157081	0.541528	4.147019	0.002534	0.145168	0.264658	0.28886	0.393616	0.432775	0.488765	0.646722	0.733247	0.296198	0.323364	1.122234	0.689547	0.639153	0.249186	0.126558	0.244715	0.106881	0.218508	0.280424
FCMP-13A_30b.15	0.100299	0.274569	0.154515	11.228784	0.097595	0.070284	0.342213	0.694927	0.217433	0.376957	0.058696	0.313818	0.132343	0.114181	0.124449	0.107338	0.124409	0.173996	0.445964	0.579046	0.435729	0.0817	0.168306	0.096144	0.102262	0.19356	0.374325	0.141849	0.209256	0.24213	0.100572	0.092499	0.057812	0.055832	0.129098	0.013233	0.054253	0.099252	0.104471	0.143673	0.11328	0.138474	0.109489	0.322927	0.135034	0.187063	0.542757	0.198882	0.241498	0.695735	0.222478	0.099753	0.140019	0.170373	0.097195
FCMP-13A_17b.84	2.35144	0.746496	1.329212	25.636444	2.204507	3.122623	0.003961	0.033836	1.864715	0.034841	0.995072	0.789062	1.459267	0.718091	0.165558	0.19525	1.540877	0.483444	0.080884	1.765187	0.026272	0.50679	1.681743	2.271163	0.556207	1.372133	0.504543	1.061555	0.018914	3.021874	1.89217	1.722251	1.214414	2.294695	2.971109	0.002027	0.305364	0.37543	0.066005	1.113044	0.244398	1.03122	0.262029	2.270183	0.116456	0.491738	0.073733	0.055712	1.159071	1.141787	0.391561	0.771434	1.489121	0.80703	3.364605
FCMP-13A_25.89	0.261443	1.619918	9.108396	46.791493	0.710241	0.589836	0.311379	0.100223	0.001502	13.447781	0.385685	6.412162	1.994039	2.232193	0.165845	2.644144	8.991321	0.069401	5.778028	0.757656	0.309807	0.616306	1.11283	0.97947	0.904283	6.771138	5.857503	0.548681	0.073602	1.288226	0.356114	0.656941	2.034599	1.11572	0.726234	0.001503	1.265126	0.407109	1.294063	2.250884	0.089186	2.96142	0.720866	1.551913	2.9735	0.480992	0.436002	0.095977	0.874256	0.085263	3.612127	5.589742	19.22538	0.1331	0.440816
FCMP-13A_15.11	0.581874	1.776312	5.654276	6.881422	1.178365	0.952178	1.056893	2.294568	0.000233	0.628115	3.677144	4.168502	1.981504	4.448663	1.153284	0.38268	1.805487	2.303019	0.245039	0.275272	1.003949	1.436994	2.212078	3.810797	6.611736	1.873569	2.970993	0.94194	0.840512	1.992743	1.095634	4.213394	1.394616	3.011835	1.67662	0.001783	0.462148	1.149244	1.244339	2.759656	3.787355	4.945409	5.341011	0.443159	3.588109	0.684787	2.71865	1.284697	1.168655	0.770163	1.032153	0.643824	1.448901	1.16563	1.421185
FCMP-13A_16.22	1.286369	1.848268	3.325261	19.547157	5.620152	2.150081	9.154428	3.525997	0.003787	10.151768	2.174172	2.367008	5.550908	5.131022	4.348793	0.782224	0.774785	0.844695	1.235836	0.860052	1.567184	0.763139	2.0603	2.053417	5.511109	1.875317	2.134219	0.868013	0.111046	1.652196	1.989484	3.119371	1.768662	4.902311	0.843561	0.001615	0.868469	4.444189	4.188427	5.451584	2.450445	4.757608	6.444319	0.571289	0.76647	4.581371	4.420723	4.250425	4.810584	3.664328	0.141952	0.918001	2.973671	0.534617	0.918794
FCMP-12A_16.79	0.709834	1.068044	8.702986	0.406825	0.380151	0.531544	0.703398	1.155668	0.030372	0.003764	0.076496	0.634632	0.039419	0.037277	1.511601	0.007613	0.02274	6.427334	1.725981	0.11907	4.21806	1.087676	0.000844	0.000419	0.208091	0.931875	0.326757	0.115513	0.468883	1.602384	1.608771	0.451683	4.038989	1.650518	0.048185	0	0.00886	0.374911	5.372103	0.649464	0.371783	0.508861	0.107238	0.005446	0.003981	0.056586	0.517913	0.0085	0.006939	2.959388	1.103958	0.292903	0.0518	0.01984	0.438647
FCMP-12A_30.22	4.016549	6.514581	16.455506	0.921388	0.895708	1.333487	0.290321	0.87334	5.367585	0.006784	3.932473	2.239654	2.597991	1.830805	5.20026	3.986356	7.836378	1.829825	0.593566	1.689095	0.03325	5.122382	9.201247	1.907339	3.491365	2.293304	3.075589	2.920131	4.999237	0.593487	5.114107	3.632527	7.70398	2.726306	0.691371	0.004623	1.853642	3.210012	11.313559	3.094414	1.020063	2.025731	2.710487	3.543112	3.181919	1.259153	1.982355	1.556269	2.297485	1.613658	4.966005	3.243857	4.320641	0.182551	1.683336
FCMP-12A_25.42	0.04789	1.347251	8.966404	0.028823	0.123243	0.081949	1.317234	0.020509	0.027504	0.030634	2.463815	0.122231	17.925716	6.838486	9.171215	0.191178	4.948885	0.062186	0.067703	1.395665	0.030794	2.855222	0.071363	2.05599	0.844752	0.110189	0.035705	0.043197	0.666624	0.009999	0.017788	0.012412	0.759609	0.050144	0.688235	0.006963	1.28235	1.37543	0.564658	0.068634	0.014206	0.968352	0.405228	10.303101	0.554814	12.417122	3.415986	17.742566	19.016882	0.087281	6.504165	2.932404	3.42125	0.079717	0.046205
FCMP-12A_18.46	0.482327	4.581382	11.536335	0.140229	0.269678	0.338516	0.147582	0.082156	0.021013	0.014964	0.431327	3.990675	0.233679	0.244324	0.378804	0.497603	0.052573	0.075454	0.019982	0.150252	0.038916	0.681017	2.344155	0.112741	1.103465	0.976334	0.666135	1.603404	0.237143	0.292136	2.324921	0.118258	0.865021	0.221106	0.476256	0.001111	0.073846	0.561684	7.788572	0.363499	0.460638	0.734765	0.804082	0.03537	0.85408	0.095816	0.327132	0.128376	0.183798	0.514212	0.172321	0.33966	0.077593	0.08652	0.397687
FCMP-12A_27.49	7.413799	5.468404	11.679101	0.003591	0.908304	1.023215	0.430227	0.018268	0.014428	0.003144	11.051162	3.573354	1.159454	2.533224	5.170667	7.198853	0.61392	0.118128	0.006247	0.240703	0.00162	8.859676	2.228657	1.682865	4.681301	1.045675	0.18356	8.143315	2.023653	3.992335	2.134837	6.113364	4.017224	6.525639	0.014967	0.002839	8.910268	6.321482	1.86021	1.824312	0.591158	2.524841	6.726551	0.080137	2.242166	2.991021	0.572576	4.77442	3.506934	0.021679	0.117794	0.260384	0.189481	0.185728	3.823372
FCMP-12A_27b.21	0.954628	0.883205	5.935513	0.455162	0.431781	0.439284	0.091027	0.019333	0.212093	0.129094	0.166282	4.42202	0.047911	2.345354	0.741813	0.122033	0.173135	0.010156	0.071879	0.991399	0.005401	0.246616	1.935742	0.12322	0.160597	0.123439	0.189047	0.48613	1.305161	1.253476	0.173914	0.094311	0.147323	0.168045	0.158311	0.000376	0.154224	0.489398	0.032369	0.160814	0.219492	0.909686	1.262579	0.076556	0.020776	0.25485	0.612576	0.751175	0.062129	0.002085	1.729384	0.038714	0.398408	0.038111	0.098789
FCMP-12A_27b.35	3.581653	4.87134	5.17937	0.62233	6.157353	4.668953	0.067886	0.167806	0.004754	0.131033	0.882357	1.727568	2.426229	1.443619	2.712345	1.020208	1.506298	1.114778	0.092292	3.453056	0.470605	4.011429	4.659976	1.040257	4.974435	2.172393	1.141804	2.754768	6.195411	1.714948	2.732735	0.858418	3.169203	1.312792	0.782921	0.039535	9.328468	1.653285	4.10954	1.271662	2.41122	1.848791	2.589717	0.344136	2.359327	0.827051	0.376813	1.08022	0.909319	2.995952	0.635403	4.123763	7.695288	2.691176	3.310887
FCMP-15A_27.79	2.354292	5.72913	5.007662	0.221567	17.414935	24.863024	8.931522	0.105732	7.183928	0.266621	4.016037	0.815413	1.23939	3.997322	1.688578	1.224858	1.863818	5.06151	0.327396	0.656529	0.710716	3.69661	3.069178	9.4877	3.922198	0.883717	3.910585	3.299224	3.254035	6.821935	1.030232	4.559898	3.287076	2.421344	1.590796	0.00601	2.165599	1.906536	3.892794	0.708408	3.061837	1.588771	1.163785	0.66517	0.342177	1.026588	2.554518	0.733853	0.735281	0.425438	2.201223	1.423351	2.748221	0.35484	6.273628
FCMP-15A_30.13	0.015987	0.492292	0.003971	5.071389	64.714078	36.368616	3.646156	0.079473	0.002933	2.368591	0.004902	0.007732	0.007842	0.005496	0.309737	0.003243	0.006125	0.00202	0.000559	0.151809	0.069394	0.004206	0.002298	0.00178	0.274567	0.018439	0.001165	0.003727	0.00138	0.091234	0.23661	0.140158	0.002397	0.117419	1.804659	0.001099	0.048407	0.001296	0.007206	0.123675	0.632647	0.095442	1.356332	0.002927	0.016119	0.560031	0.124618	0.006925	0.006502	0.003667	0.00217	0.739727	0.000729	0.00086	0.004772
